patent_id,inventor_id,company_id
US13320979B2,INV1113,
US13320979B2,INV8552,
US13320979B2,INV9716,
US13320979B2,,COMP751
US13320979B2,,COMP298
US50463122B2,INV8543,
US50463122B2,INV5543,
US50463122B2,INV6004,
US50463122B2,,COMP139
US50463122B2,,COMP742
US85405156B2,INV1493,
US85405156B2,,COMP538
US12236613B2,INV6505,
US12236613B2,INV9862,
US12236613B2,INV3558,
US12236613B2,,COMP647
US48454540B2,INV4285,
US48454540B2,,COMP338
US48454540B2,,COMP154
US91923063B2,INV5591,
US91923063B2,,COMP908
US91923063B2,,COMP212
US70417302B2,INV8336,
US70417302B2,INV7414,
US70417302B2,INV9245,
US70417302B2,,COMP799
US28602911B2,INV9056,
US28602911B2,,COMP359
US11405940B2,INV4218,
US11405940B2,,COMP736
US11405940B2,,COMP109
US89924942B2,INV5359,
US89924942B2,,COMP684
US47614344B2,INV3907,
US47614344B2,,COMP251
US47614344B2,,COMP194
US66161137B2,INV1242,
US66161137B2,,COMP743
US66161137B2,,COMP849
US49232539B2,INV8603,
US49232539B2,,COMP730
US49232539B2,,COMP283
US75668135B2,INV7903,
US75668135B2,,COMP881
US75668135B2,,COMP833
US23275793B2,INV9867,
US23275793B2,INV4633,
US23275793B2,,COMP183
US15165222B2,INV6861,
US15165222B2,INV9006,
US15165222B2,,COMP581
US15165222B2,,COMP787
US11520775B2,INV5095,
US11520775B2,INV8076,
US11520775B2,,COMP351
US24517647B2,INV2852,
US24517647B2,INV3662,
US24517647B2,INV9958,
US24517647B2,,COMP735
US24517647B2,,COMP686
US70906699B2,INV3587,
US70906699B2,INV1236,
US70906699B2,INV1378,
US70906699B2,,COMP624
US80007892B2,INV9599,
US80007892B2,INV2084,
US80007892B2,,COMP972
US90865158B2,INV9942,
US90865158B2,,COMP200
US99879256B2,INV1375,
US99879256B2,INV6554,
US99879256B2,,COMP861
US27816072B2,INV2554,
US27816072B2,,COMP908
US82650565B2,INV3005,
US82650565B2,INV8260,
US82650565B2,,COMP455
US82650565B2,,COMP183
US29319710B2,INV3617,
US29319710B2,,COMP707
US49618980B2,INV9702,
US49618980B2,INV8016,
US49618980B2,INV9614,
US49618980B2,,COMP603
US49618980B2,,COMP459
US46905180B2,INV8687,
US46905180B2,INV7445,
US46905180B2,INV9055,
US46905180B2,,COMP510
US70623120B2,INV5767,
US70623120B2,INV7149,
US70623120B2,,COMP227
US46783647B2,INV3471,
US46783647B2,INV3101,
US46783647B2,INV7116,
US46783647B2,,COMP170
US46783647B2,,COMP529
US34872720B2,INV7703,
US34872720B2,,COMP257
US50269699B2,INV3648,
US50269699B2,,COMP733
US50269699B2,,COMP723
